sampleDate	District	Sub.District	Location	ASLProjectType	Species	Mesh.Size	Run	Sex.Determination.Method	cardNo	fishNum	Sex	Length	Fresh.Water.Age	Salt.Water.Age	Age.Error	Length.Measurement.Type	Gear	Project	Flag
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	1	male	580	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	2	female	570	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	3	male	580	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	4	male	610	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	5	female	560	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	6	male	590	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	7	male	610	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	8	male	620	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	9	female	510	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	10	male	590	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	11	female	550	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	12	female	530	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	13	male	580	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	14	male	620	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	15	male	630	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
1/1/67	Yukon	Y2 (Subdistrict 2)	Andreafsky River (East Fork)	General Escapement	Chum	NA	Summer Run	NA	4	16	female	540	NA	NA		Mid-eye to fork of tail	Handpicked or carcass	Andreafsky River (East Fork) Ancillary ASL	D
